 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xca  # Engine 1: Relative Speed +5
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc6  # Engine 1: Relative Speed +1
 0x0 0xc6  # Engine 1: Relative Speed +1
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xca  # Engine 1: Relative Speed +5
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc6  # Engine 1: Relative Speed +1
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc9  # Engine 1: Relative Speed +4
 0x0 0xc7  # Engine 1: Relative Speed +2
 0x0 0xc8  # Engine 1: Relative Speed +3
 0x0 0xc6  # Engine 1: Relative Speed +1
